Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Cambridge Junior College-Woodland,Woodland,CA,95695,Yolo,NOT AVAILABLE
Baltimore School of Massage-York,York,PA,17402,York,NOT AVAILABLE
Anthem College-Atlanta,Atlanta,GA,30324,Fulton,NOT AVAILABLE
Allen School-Phoenix,Phoenix,AZ,85053,Maricopa,NOT AVAILABLE
Gurnick Academy of Medical Arts,San Mateo,CA,94403,San Mateo,NOT AVAILABLE
Oklahoma Technical College,Tulsa,OK,74145,Tulsa,NOT AVAILABLE
ICPR Junior College√Manat?,Arecibo,PR,674,ManatÃ­,NOT AVAILABLE
Southern California University SOMA,Los Angeles,CA,90017,Los Angeles,NOT AVAILABLE
Midwest Technical Institute,Moline,IL,61265,Rock Island,NOT AVAILABLE
Western Beauty Institute,Lancaster,CA,93536,Los Angeles,NOT AVAILABLE
Paul Mitchell the School-East Bay,Pleasant Hill,CA,94523,Contra Costa,NOT AVAILABLE
Star Career Academy-Clifton,Clifton,NJ,7011,Passaic,NOT AVAILABLE
Ridley-Lowell Business and Technical Institute,Danbury,CT,6810,Fairfield,NOT AVAILABLE
South University√Richmond,Glen Allen,VA,23060,Henrico,NOT AVAILABLE
Unitech Training Academy-Alexandria,Alexandria,LA,71301,Rapides,NOT AVAILABLE
Artistic Nails and Beauty Academy,Lakeland,FL,33801,Polk,NOT AVAILABLE
South University√Virginia Beach,Virginia Beach,VA,23452,Virginia Beach,NOT AVAILABLE
Aveda Institute Denver,Denver,CO,80202,Denver,AID
Unitech Training Academy-Lake Charles,Lake Charles,LA,70601,Calcasieu,NOT AVAILABLE
Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,37129,Rutherford,NOT AVAILABLE
Paul Mitchell the School-Colorado Springs,Colorado Springs,CO,80903,El Paso,NOT AVAILABLE
Aveda Institute Los Angeles,Los Angeles,CA,90024,Los Angeles,NOT AVAILABLE
Allied American University,Laguna Hills,CA,92653,Orange,NOT AVAILABLE
The Salon Professional Academy-Colorado Springs,Colorado Springs,CO,80918,El Paso,NOT AVAILABLE
Career Quest Learning Center-Kalamazoo,Kalamazoo,MI,49002,Kalamazoo,NOT AVAILABLE
American Sentinel University,Aurora,CO,80014,Arapahoe,NOT AVAILABLE
Paul Mitchell The School-Delaware,Newark,DE,19702,New Castle,NOT AVAILABLE
Buchanan Beauty College,Tullahoma,TN,37388,Coffee,Coffee County Beauty Academy
Tribeca Flashpoint Media Arts Academy,Chicago,IL,60602,Cook,Tribeca Flashpoint
Future-Tech Institute,Miami,FL,33135,Miami-Dade,FTI
WellSpring School of Allied Health,Lawrence,KS,66045,Douglas,NOT AVAILABLE
Hawaii Medical College,Honolulu,HI,96814,Honolulu,NOT AVAILABLE
Marchman Technical Education Center,New Port Richey,FL,34653,Pasco,NOT AVAILABLE
Art Institute of Wisconsin (The),Milwaukee,WI,53202,Milwaukee,NOT AVAILABLE
Carolina College of Hair Design,Asheville,NC,28805,Buncombe,NOT AVAILABLE
Eureka Institute of Health and Beauty,Miami,FL,33174,Miami-Dade,NOT AVAILABLE
Virginia College-Baton Rouge,Baton Rouge,LA,70815,East Baton Rouge,NOT AVAILABLE
The Salon Professional Academy-Ft Myers,North Fort Myers,FL,33903,Lee,NOT AVAILABLE
Brown Mackie College-Birmingham,Birmingham,AL,35209,Jefferson,NOT AVAILABLE
Remington College,Heathrow,FL,33612,Seminole,NOT AVAILABLE
SOLEX College,Wheeling,IL,60090,Cook,NOT AVAILABLE
Regina's College of Beauty,Augusta,GA,30906,Richmond,NOT AVAILABLE
College of Massage Therapy,Blackfoot,ID,83221,Bingham,NOT AVAILABLE
Unity Cosmetology College,Pontiac,IL,61764,Livingston,NOT AVAILABLE
New York Film Academy,Universal City,CA,91608,New York,NOT AVAILABLE
Universal Spa Training Academy,Downers Grove,IL,60515,DuPage,NOT AVAILABLE
Manuel and Theresa's School of Hair Design,Victoria,TX,77902,Victoria,NOT AVAILABLE
Miller-Motte College,Jacksonville,NC,28540,Onslow,NOT AVAILABLE
The Salon Professional Academy-Evansville,Evansville,IN,47715,Vanderburgh,NOT AVAILABLE
Coast Career Institute,Colton,CA,92324,San Bernardino,NOT AVAILABLE
Miller-Motte Technical College,Augusta,GA,30907,Richmond,NOT AVAILABLE
Tri County Regional Vocational Technical High School,Franklin,MA,2038,Norfolk,Tri-County RVTHS
Tricoci University of Beauty Culture,Chicago,IL,60626,Cook,TUBC - Loyola
Miller-Motte Technical College,Conway,SC,29526,Horry,NOT AVAILABLE
Compass College of Cinematic Arts,Grand Rapids,MI,49503,Kent,NOT AVAILABLE
ITT Technical Institute-Bradenton,Bradenton,FL,34201,Manatee,NOT AVAILABLE
Virginia College-Macon,Macon,GA,31206,Bibb,NOT AVAILABLE
Nova Academy of Cosmetology,Rochester,MN,55906,Olmsted,NOT AVAILABLE
ITT Technical Institute-Phoenix West,Phoenix,AZ,85037,Maricopa,NOT AVAILABLE
ITT Technical Institute-Brooklyn Center,Brooklyn Center,MN,55430,Hennepin,NOT AVAILABLE
Victory Trade School,Springfield,MO,65803,Greene,NOT AVAILABLE
ITT Technical Institute-Orlando,Orlando,FL,32819,Orange,NOT AVAILABLE
Starting Points Inc,Jersey City,NJ,7306,Hudson,Institute for Early Childhood Educators
ITT Technical Institute-Waco,Waco,TX,76706,McLennan,NOT AVAILABLE
The Lab-Paul Mitchell Partner School,Ewing,NJ,8628,Mercer,NOT AVAILABLE
ITT Technical Institute-Myrtle Beach,Myrtle Beach,SC,29572,Horry,NOT AVAILABLE
SAE Institute of Technology-New York,New York,NY,10001,New York,NOT AVAILABLE
University of Phoenix-Knoxville Campus,Knoxville,TN,37932,Knox,NOT AVAILABLE
Azusa Pacific Online University,Glendora,CA,91740,Los Angeles,NOT AVAILABLE
John Paolo's Xtreme Beauty Institute-Goldwell Pro,Latham,NY,12110,Albany,NOT AVAILABLE
Minneapolis Media Institute,Edina,MN,55435,Hennepin,NOT AVAILABLE
CollegeAmerica-Phoenix,Phoenix,AZ,85051,Maricopa,NOT AVAILABLE
CollegeAmerica-Stevens Henager College,Idaho Falls,ID,83402,Bonneville,NOT AVAILABLE
Avalon School of Cosmetology-Phoenix,Phoenix,AZ,85022,Maricopa,NOT AVAILABLE
Avalon School of Cosmetology-Layton,Layton,UT,84041,Davis,NOT AVAILABLE
Hair Design Institute,Boynton Beach,FL,33435,Palm Beach,NOT AVAILABLE
Hair Design Institute,Apopka,FL,32703,Orange,NOT AVAILABLE
University of Phoenix-Baton Rouge,Baton Rouge,LA,70808,East Baton Rouge,NOT AVAILABLE
University of Phoenix-Lafayette Campus,Lafayette,LA,70508,Lafayette,NOT AVAILABLE
University of Phoenix-Shreveport-Bossier Campus,Bossier City,LA,71111,Bossier,NOT AVAILABLE
Eternity Cosmetology School,West Palm Beach,FL,33415,Palm Beach,NOT AVAILABLE
All-State Career School-Allied Health Campus,Essington,PA,19029,Delaware,NOT AVAILABLE
Tri-State Institute of Hair Design,London,KY,40744,Laurel,NOT AVAILABLE
Aveda Institute Des Moines,West Des Moines,IA,50266,Dallas,NOT AVAILABLE
Vogue College-San Antonio,San Antonio,TX,78201,Bexar,NOT AVAILABLE
Fortis Institute-Lawrenceville,Lawrenceville,NJ,8648,Mercer,NOT AVAILABLE
Vogue Beauty Academy,San Antonio,TX,78238,Bexar,NOT AVAILABLE
Relay Graduate School of Education,New York,NY,10011,New York,NOT AVAILABLE
Brown Mackie College-Oklahoma City,Oklahoma City,OK,73132,Oklahoma,NOT AVAILABLE
Tomorrow's Image Barber Academy of Virginia,Newport News,VA,23602,Newport News,NOT AVAILABLE
Sanford-Brown College-Austin,Austin,TX,78753,Travis,Sanford-Brown Institute Austin
Excel Learning Center,El Paso,TX,79907,El Paso,NOT AVAILABLE
College of International Esthetics Inc,Arvada,CO,80002,Jefferson,NOT AVAILABLE
Medical Allied Career Center,Santa Fe Springs,CA,90670,Los Angeles,NOT AVAILABLE
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209,Baltimore,NOT AVAILABLE
Long Island Barber Institute (The),Hempstead,NY,11550,Nassau,NOT AVAILABLE
Toni & Guy Hairdressing Academy,Toledo,OH,43615,Lucas,NOT AVAILABLE
American Institute of Medical Sonography,Las Vegas,NV,89146,Clark,NOT AVAILABLE
Destination Academy for Spa and Salon Professionals,Las Vegas,NV,89147,Clark,Destination Academy
Classic Cooking Academy,Scottsdale,AZ,85255,Maricopa,NOT AVAILABLE
School of Court Reporting (The),Mount Laurel,NJ,8054,Burlington,NOT AVAILABLE
Curve Metric School of Hair Design,Elmwood Park,IL,60707,Cook,NOT AVAILABLE
Athena Career Academy,Sylvania,OH,43560,Lucas,NOT AVAILABLE
Miller-Motte Technical College-Macon,Macon,GA,31210,Bibb,NOT AVAILABLE
Miller-Motte Technical College-Gulfport,Gulfport,MS,39503,Harrison,NOT AVAILABLE
International Academy of Medical Reflexology,Allentown,PA,18109,Lehigh,IAMR
South University√Savannah Online,Savannah,GA,31406,Chatham,NOT AVAILABLE
Fortis College-Montgomery,Montgomery,AL,36117,Montgomery,NOT AVAILABLE
Western Shores Institute Inc,Dunkirk,MD,20754,Calvert,NOT AVAILABLE
San Joaquin Valley College-Temecula,Temecula,CA,92590,Riverside,NOT AVAILABLE
Rio Grande Bible Institute,Edinburg,TX,78539,Hidalgo,Rio Grande Bible College |Seminario Biblico Rio Grande
Miller-Motte Technical College,Roanoke,VA,24018,Roanoke,NOT AVAILABLE
Whitworth University-Adult Degree Programs,Spokane,WA,99251,Spokane,NOT AVAILABLE
The Santa Barbara and Ventura Colleges of Law√Santa Barbara,Santa Barbara,CA,93101,Santa Barbara,NOT AVAILABLE
The University of America,Murrieta,CA,92563,Riverside,THE UA
Kaplan College-Chesapeake,Chesapeake,VA,23320,Chesapeake,NOT AVAILABLE
American Broadcasting School-Online Program,Oklahoma City,OK,73115,Oklahoma,NOT AVAILABLE
Springfield College-School of Human Services,Springfield,MA,1109,Hampden,NOT AVAILABLE
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,91411,Los Angeles,Marian College Van Nuys
Brown College-Brooklyn Center,Brooklyn Center,MN,55430,Hennepin,NOT AVAILABLE
Grace College of Divinity,Fayetteville,NC,28314,Cumberland,NOT AVAILABLE
Cosmetology College of Franklin County,Saint Clair,MO,63077,Franklin,NOT AVAILABLE
Rochester School of Hair Design,Rochester,MN,55901,Olmsted,RSHD
Aveda Institute of New Mexico (The),Albuquerque,NM,87104,Bernalillo,NOT AVAILABLE
Nashville Barber and Style Academy,Nashville,TN,37208,Davidson,NOT AVAILABLE
American Trade School,Saint Ann,MO,63074,St. Louis,NOT AVAILABLE
Estelle Skin Care and Spa Institute,Skokie,IL,60077,Cook,NOT AVAILABLE
Paul Mitchell The School Honolulu,Honolulu,HI,96816,Honolulu,NOT AVAILABLE
Elite Cosmetology School,Yucca Valley,CA,92284,San Bernardino,NOT AVAILABLE
Academy of Aesthetic Arts,Shawnee,KS,66203,Johnson,NOT AVAILABLE
American Technical Institute,Bayamon,PR,957,BayamÃ³n,AMTEC
Twin Rivers Adult School,North Highlands,CA,95660,Sacramento,TRAS
Bergin University of Canine Studies,Santa Rosa,CA,94928,Sonoma,NOT AVAILABLE
D'Shaw Institute of Cosmetology,Boise,ID,83704,Ada,NOT AVAILABLE
Progressive Training Centers,Pompano Beach,FL,33060,Broward,NOT AVAILABLE
American Health Institute,Port Richey,FL,34654,Pasco,NOT AVAILABLE
Virginia College-Spartanburg,Spartanburg,SC,29301,Spartanburg,NOT AVAILABLE
Pima Medical Institute-South Denver,Aurora,CO,80012,Denver,NOT AVAILABLE
Aveda Institute Portland,Portland,OR,97209,Multnomah,NOT AVAILABLE
Real Barbers College (The),Anaheim,CA,92805,Orange,NOT AVAILABLE
Chamberlain College of Nursing-Virginia,Arlington,VA,22202,Arlington,Chamberlain College of Nursing-Arlington
Stevens Henager College,Boise,ID,83709,Ada,NOT AVAILABLE
The Salon Professional Academy,Cincinnati,OH,45211,Hamilton,NOT AVAILABLE
Yeshiva Gedolah Zichron Leyma,Linden,NJ,7036,Union,NOT AVAILABLE
The Artisan College of Cosmetology,Findlay,OH,45840,Hancock,NOT AVAILABLE
Penrose Academy,Scottsdale,AZ,85254,Maricopa,NOT AVAILABLE
Sage School of Massage & Healing Arts,Bend,OR,97701,Deschutes,NOT AVAILABLE
Virginia College-Richmond,Richmond,VA,23225,Chesterfield,NOT AVAILABLE
Lawyer's Assistant School of Dallas,Dallas,TX,75206,Dallas,NOT AVAILABLE
